referee,matches_count,avg_yellow_cards,avg_corners,avg_fouls,avg_penalties,avg_medical_exits,strictness_index,penalty_index
Безбородов А.,17,3.176470588235294,9.294117647058824,26.58823529411765,0.17647058823529413,1.7058823529411764,0.9456395092504499,0.7054265325677992
Вилков В.,21,3.0,9.619047619047619,25.285714285714285,0.3333333333333333,2.0952380952380953,0.8931039809587583,1.3324723392947315
Еськов А.,23,2.4782608695652173,9.956521739130435,26.304347826086957,0.21739130434782608,1.7826086956521738,0.7377815494876698,0.8690036995400424
Иванов И.,18,2.7222222222222223,9.222222222222221,25.38888888888889,0.2222222222222222,1.0,0.8104091679070214,0.8883148928631543
Казарцев С.,23,4.217391304347826,10.826086956521738,24.82608695652174,0.30434782608695654,2.0869565217391304,1.2555229877246312,1.2166051793560595
Карасев С.,23,4.6521739130434785,9.782608695652174,25.608695652173914,0.30434782608695654,2.0869565217391304,1.3849583472838716,1.2166051793560595
Лапочкин С.,9,3.111111111111111,9.11111111111111,24.666666666666668,0.4444444444444444,2.2222222222222223,0.9261819061794531,1.7766297857263087
Левников С.,22,3.772727272727273,10.0,26.318181818181817,0.045454545454545456,1.7272727272727273,1.1231459154481356,0.18170077354019068
Матюнин А.,17,3.7058823529411766,10.411764705882353,27.647058823529413,0.29411764705882354,1.5294117647058822,1.103246094125525,1.1757108876129985
Москалев А.,29,3.413793103448276,10.413793103448276,25.275862068965516,0.1724137931034483,1.5172413793103448,1.0162907369530698,0.6892098306696889
Панин А.,17,3.0588235294117645,10.705882352941176,23.941176470588236,0.058823529411764705,2.176470588235294,0.9106158237226555,0.2351421775225997
Чистяков Е.,21,3.0,9.380952380952381,27.38095238095238,0.42857142857142855,1.8095238095238095,0.8931039809587583,1.7131787219503691
